Dificulty,Category,Exercise,Visual Example
Beginner,Freeweight,Banded Glute Kickbacks,https://fitnessprogramer.com/wp-content/uploads/2022/02/Banded-Glute-Kickbacks.gif
Beginner,Freeweight,Banded Jack knife sit-up,https://fitnessprogramer.com/wp-content/uploads/2022/05/Jack-knife-sit-up.gif
Beginner,Freeweight,Banded Kettlebell Goblet Squat,https://fitnessprogramer.com/wp-content/uploads/2022/10/Banded-Kettlebell-Goblet-Squat.gif
Beginner,Freeweight,Banded Leg Curl,https://fitnessprogramer.com/wp-content/uploads/2022/10/Banded-Leg-Curl.gif
Beginner,Freeweight,Banded Lunge,https://fitnessprogramer.com/wp-content/uploads/2022/10/Banded-Lunge.gif
Beginner,Freeweight,Banded Lying leg and hip raise,https://fitnessprogramer.com/wp-content/uploads/2022/05/Lying-leg-and-hip-raise.gif
Beginner,Freeweight,Banded Lying Leg Curl,https://fitnessprogramer.com/wp-content/uploads/2022/05/Lying-leg-curl.gif
Beginner,Freeweight,Banded Overhead Triceps Extension,https://fitnessprogramer.com/wp-content/uploads/2020/05/Banded-Triceps-Extension.gif
Beginner,Freeweight,Banded Seated Hip Abduction,https://fitnessprogramer.com/wp-content/uploads/2022/02/Banded-Seated-Hip-Abduction.gif
Beginner,Freeweight,Banded Shoulder Extension,https://fitnessprogramer.com/wp-content/uploads/2023/06/Banded-Shoulder-Extension.gif
Beginner,Freeweight,Banded Shoulder External Rotation,https://fitnessprogramer.com/wp-content/uploads/2023/06/Banded-Shoulder-External-Rotation.gif
Beginner,Freeweight,Banded Shoulder Flexion,https://fitnessprogramer.com/wp-content/uploads/2023/06/Banded-Shoulder-Flexion.gif
Beginner,Freeweight,Banded Single Leg Glute Bridge,https://fitnessprogramer.com/wp-content/uploads/2022/02/Banded-Single-Leg-Glute-Bridge.gif
Beginner,Freeweight,Banded Split Squat,https://fitnessprogramer.com/wp-content/uploads/2022/10/Banded-Split-Squat.gif
Beginner,Freeweight,Banded Standing Glute Kickback,https://fitnessprogramer.com/wp-content/uploads/2022/02/Banded-Standing-Glute-Kickback.gif
Beginner,Freeweight,Banded Step-up,https://fitnessprogramer.com/wp-content/uploads/2022/04/Banded-Step-up.gif
Beginner,Freeweight,Banded Thigh Fly,https://fitnessprogramer.com/wp-content/uploads/2022/02/Banded-Thigh-Fly.gif
Beginner,Freeweight,Banded Walk,https://fitnessprogramer.com/wp-content/uploads/2022/02/Banded-Walk.gif
Intermediate,Barbell,Barbell Alternate Biceps Curl,https://fitnessprogramer.com/wp-content/uploads/2022/02/Barbell-Alternate-Biceps-Curl.gif
Intermediate,Barbell,Barbell Bench Front Squat,https://fitnessprogramer.com/wp-content/uploads/2021/06/Barbell-Bench-Front-Squat.gif
Intermediate,Barbell,Barbell Bent Over Row,https://fitnessprogramer.com/wp-content/uploads/2021/02/Barbell-Bent-Over-Row.gif
Intermediate,Barbell,Barbell Bulgarian Split Squat,https://fitnessprogramer.com/wp-content/uploads/2021/05/Barbell-Bulgarian-Split-Squat.gif
Intermediate,Barbell,Barbell Clean and Press,https://fitnessprogramer.com/wp-content/uploads/2021/04/Barbell-Clean-and-Press-.gif
Intermediate,Barbell,Barbell Curl,https://fitnessprogramer.com/wp-content/uploads/2021/02/Barbell-Curl.gif
Intermediate,Barbell,Barbell Curl On Arm Blaster,https://fitnessprogramer.com/wp-content/uploads/2021/08/Barbell-Curl-On-Arm-Blaster.gif
Intermediate,Barbell,Barbell Curtsey Lunge,https://fitnessprogramer.com/wp-content/uploads/2022/04/Barbell-Curtsey-Lunge.gif
Intermediate,Barbell,Barbell Decline Bent Arm Pullover,https://fitnessprogramer.com/wp-content/uploads/2022/01/Barbell-Decline-Bent-Arm-Pullover.gif
Intermediate,Barbell,Barbell Drag Curl,https://fitnessprogramer.com/wp-content/uploads/2022/12/Barbell-Drag-Curl.gif
Intermediate,Barbell,Barbell Finger Curl,https://fitnessprogramer.com/wp-content/uploads/2022/09/Barbell-Finger-Curl.gif
Intermediate,Barbell,Barbell Floor Press,https://fitnessprogramer.com/wp-content/uploads/2022/07/Barbell-Floor-Press.gif
Intermediate,Barbell,Barbell Front Raise,https://fitnessprogramer.com/wp-content/uploads/2021/02/Barbell-Front-Raise.gif
Intermediate,Barbell,Barbell Front Raise Twist,https://fitnessprogramer.com/wp-content/uploads/2021/10/Barbell-Front-Raise-Twist.gif
Intermediate,Barbell,Barbell Front Squat,https://fitnessprogramer.com/wp-content/uploads/2021/06/front-squat.gif
Intermediate,Barbell,Barbell Glute Bridge,https://fitnessprogramer.com/wp-content/uploads/2021/12/Barbell-Glute-Bridge.gif
Intermediate,Barbell,Barbell Glute Bridge On Bench,https://fitnessprogramer.com/wp-content/uploads/2023/01/Barbell-Glute-Bridge-Two-Legs-on-Bench.gif
Intermediate,Barbell,Barbell Glute Bridge Two Legs on Bench,https://fitnessprogramer.com/wp-content/uploads/2023/03/Barbell-Glute-Bridge-Two-Legs-on-Bench.gif
Intermediate,Barbell,Barbell Good Morning,https://fitnessprogramer.com/wp-content/uploads/2021/02/Barbell-Good-Morning.gif
Intermediate,Barbell,Barbell Hack Squat,https://fitnessprogramer.com/wp-content/uploads/2021/02/Barbell-Hack-Squat.gif
Intermediate,Barbell,Barbell Hang Clean,https://fitnessprogramer.com/wp-content/uploads/2022/07/Barbell-Hang-Clean.gif
Intermediate,Barbell,Barbell Hip Thrusts,https://fitnessprogramer.com/wp-content/uploads/2021/02/Barbell-Hip-Thrust.gif
Intermediate,Barbell,Barbell JM Press,https://fitnessprogramer.com/wp-content/uploads/2024/12/Barbell-JM-Press.gif
Intermediate,Barbell,Barbell Jump Squat,https://fitnessprogramer.com/wp-content/uploads/2023/01/Barbell-Jump-Squat.gif
Intermediate,Barbell,Barbell Lateral Lunge,https://fitnessprogramer.com/wp-content/uploads/2021/05/Barbell-Lateral-Lunge.gif
Intermediate,Barbell,Barbell Lunge,https://fitnessprogramer.com/wp-content/uploads/2021/05/Barbell-Lunge.gif
Intermediate,Barbell,Barbell Lying Back of the Head Tricep Extension,https://fitnessprogramer.com/wp-content/uploads/2022/02/Barbell-Lying-Back-of-the-Head-Tricep-Extension.gif
Intermediate,Barbell,Barbell Lying Close grip Triceps Extension,https://fitnessprogramer.com/wp-content/uploads/2022/02/Barbell-Lying-Close-grip-Triceps-Extension.gif
Intermediate,Barbell,Barbell Military Press (Overhead press),https://fitnessprogramer.com/wp-content/uploads/2021/07/Barbell-Standing-Military-Press.gif
Intermediate,Barbell,Barbell One Arm Floor Press,https://fitnessprogramer.com/wp-content/uploads/2022/02/Barbell-One-Arm-Floor-Press.gif
Intermediate,Barbell,Barbell Pendlay Row,https://fitnessprogramer.com/wp-content/uploads/2022/07/Barbell-Pendlay-Row.gif
Intermediate,Barbell,Barbell Pin Front Squat,https://fitnessprogramer.com/wp-content/uploads/2022/12/Barbell-Pin-Squat.gif
Intermediate,Barbell,Barbell Pullover,https://fitnessprogramer.com/wp-content/uploads/2021/04/Barbell-Bent-Arm-Pullover.gif
Intermediate,Barbell,Barbell Rear Delt Raise,https://fitnessprogramer.com/wp-content/uploads/2021/04/Barbell-Rear-Delt-Raise.gif
Intermediate,Barbell,Barbell Reverse Curl,https://fitnessprogramer.com/wp-content/uploads/2021/02/Barbell-Reverse-Curl.gif
Intermediate,Barbell,Barbell Reverse Grip Skullcrusher,https://fitnessprogramer.com/wp-content/uploads/2022/02/Barbell-Reverse-Grip-Skullcrusher-1.gif
Intermediate,Barbell,Barbell Reverse Wrist Curl,https://fitnessprogramer.com/wp-content/uploads/2021/06/Barbell-Reverse-Wrist-Curl.gif
Intermediate,Barbell,Barbell Reverse Wrist Curl Over a Bench,https://fitnessprogramer.com/wp-content/uploads/2022/06/Barbell-Reverse-Wrist-Curl-Over-a-Bench.gif
Intermediate,Barbell,Barbell Rollout,https://fitnessprogramer.com/wp-content/uploads/2021/08/Barbell-Rollout.gif
Intermediate,Barbell,Barbell Seated Calf Raise,https://fitnessprogramer.com/wp-content/uploads/2021/09/Barbell-Seated-Calf-Raise.gif
Intermediate,Barbell,Barbell Shrug,https://fitnessprogramer.com/wp-content/uploads/2021/02/Barbell-Shrug.gif
Intermediate,Barbell,Barbell Side Bend,https://fitnessprogramer.com/wp-content/uploads/2021/09/Barbell-Side-Bend.gif
Intermediate,Barbell,Barbell Single Leg Deadlift,https://fitnessprogramer.com/wp-content/uploads/2022/09/Barbell-Single-Leg-Deadlift.gif
Intermediate,Barbell,Barbell Single Leg Hip Thrust,https://fitnessprogramer.com/wp-content/uploads/2022/02/Barbell-Single-Leg-Hip-Thrust.gif
Intermediate,Barbell,Barbell Snatch,https://fitnessprogramer.com/wp-content/uploads/2022/02/Barbell-Snatch.gif
Intermediate,Barbell,Barbell Split Squat,https://fitnessprogramer.com/wp-content/uploads/2022/04/Barbell-Split-Squat.gif
Intermediate,Barbell,Barbell Squat,https://fitnessprogramer.com/wp-content/uploads/2021/02/BARBELL-SQUAT.gif
Intermediate,Barbell,Barbell Step-Up,https://fitnessprogramer.com/wp-content/uploads/2021/06/Barbell-Step-Up.gif
Intermediate,Barbell,Barbell Sumo Squat,https://fitnessprogramer.com/wp-content/uploads/2021/02/Barbell-sumo-squat.gif
Intermediate,Barbell,Barbell Thruster,https://fitnessprogramer.com/wp-content/uploads/2022/10/thruster.gif
Intermediate,Barbell,Barbell Upright Row,https://fitnessprogramer.com/wp-content/uploads/2021/02/barbell-uprightrow.gif
Intermediate,Barbell,Barbell Wrist Curl,https://fitnessprogramer.com/wp-content/uploads/2021/02/barbell-Wrist-Curl.gif
Beginner,Freeweight,Battle Rope,https://fitnessprogramer.com/wp-content/uploads/2015/07/Battle-Rope.gif
Beginner,Bodyweight,Bear Crawl,https://fitnessprogramer.com/wp-content/uploads/2021/02/Bear-Crawl.gif
Intermediate,Barbell,Behind The Back Barbell Shrug,https://fitnessprogramer.com/wp-content/uploads/2023/03/Behind-The-Back-Barbell-Shrug-Reverse-Barbell-Shrug.gif
Intermediate,Barbell,Behind The Back Barbell Wrist Curl,https://fitnessprogramer.com/wp-content/uploads/2021/06/Behind-The-Back-Barbell-Wrist-Curl.gif
Beginner,Freeweight,Behind the Head Military Press | Gymstick,https://fitnessprogramer.com/wp-content/uploads/2022/05/Standing-Behind-Head-Military-Press.gif
Beginner,Bodyweight,Behind The Neck Pull-up,https://fitnessprogramer.com/wp-content/uploads/2022/01/Behind-The-Neck-Pull-up.gif
Beginner,Bodyweight,Belt Squat,https://fitnessprogramer.com/wp-content/uploads/2023/01/belt-squat.gif
Beginner,Bodyweight,Bench Dips,https://fitnessprogramer.com/wp-content/uploads/2021/02/Bench-Dips.gif
Beginner,Bodyweight,Bench Dips on Floor,https://fitnessprogramer.com/wp-content/uploads/2021/04/Triceps-Dips-on-Floor.gif
Beginner,Bodyweight,Bench Glute Flutter Kicks,https://fitnessprogramer.com/wp-content/uploads/2021/12/Bench-Glute-Flutter-Kicks.gif
Beginner,Machine,Bench Kneeling Cable Triceps Extension,https://fitnessprogramer.com/wp-content/uploads/2021/09/Kneeling-Cable-Extension.gif
Intermediate,Bodyweight,Bench Pike Push-up,https://fitnessprogramer.com/wp-content/uploads/2021/06/Bench-Pike-Push-up.gif
Intermediate,Barbell,Bench Press,https://fitnessprogramer.com/wp-content/uploads/2021/02/Barbell-Bench-Press.gif
Beginner,Machine,Bench Press Machine Standing Calf Raise,https://fitnessprogramer.com/wp-content/uploads/2021/09/Bench-Press-Machine-Standing-Calf-Raise.gif
Beginner,Bodyweight,Bench Side Bend,https://fitnessprogramer.com/wp-content/uploads/2021/05/Bench-Side-Bend.gif
Beginner,Freeweight,Bench Supported Dumbbell External Rotation,https://fitnessprogramer.com/wp-content/uploads/2021/09/Bench-Supported-Dumbbell-External-Rotation.gif
Beginner,Freeweight,Bent Arm Lateral Raise,https://fitnessprogramer.com/wp-content/uploads/2021/06/Dumbbell-Bent-Arm-Laterl-Raise.gif
Beginner,Freeweight,Bent Over Dumbbell Row,https://fitnessprogramer.com/wp-content/uploads/2021/02/Bent-Over-Dumbbell-Row.gif
Beginner,Bodyweight,Bent Over Kickback,https://fitnessprogramer.com/wp-content/uploads/2021/02/Bent-Over-Triceps-Kickback.gif
Beginner,Freeweight,Bent Over Lateral Raise,https://fitnessprogramer.com/wp-content/uploads/2021/02/Bent-Over-Lateral-Raise.gif
Beginner,Freeweight,Bent Over Rear Delt Fly | Gymstick,https://fitnessprogramer.com/wp-content/uploads/2022/05/Bent-Over-Rear-Delt-Fly-Gymstick.gif
Beginner,Machine,Bent Over Reverse Cable Fly,https://fitnessprogramer.com/wp-content/uploads/2021/04/bent-over-reverse-cable-fly.gif
Beginner,Freeweight,Bent Over Row | Gymstick,https://fitnessprogramer.com/wp-content/uploads/2022/05/Bent-Over-Row-Gymstick.gif
Beginner,Bodyweight,Bent Over Twist,https://fitnessprogramer.com/wp-content/uploads/2021/09/Bent-Over-Twist.gif
Intermediate,Barbell,Bent-Over Barbell Reverse Raise,https://fitnessprogramer.com/wp-content/uploads/2021/04/Bent-Over-Barbell-Reverse-Raise.gif
Beginner,Freeweight,Bent-Over Dumbbell Rear Delt Raise With Head On Bench,https://fitnessprogramer.com/wp-content/uploads/2021/02/Bent-Over-Dumbbell-Rear-Delt-Raise-With-Head-On-Bench.gif
Beginner,Yoga,Bhekasana Frog Pose,https://fitnessprogramer.com/wp-content/uploads/2022/05/Bhekasana.gif
Beginner,Stretch,Bhujangasana | Cobra Abdominal Stretch,https://fitnessprogramer.com/wp-content/uploads/2021/06/abdominal-stretch.gif
Beginner,Machine,Biceps Curl Machine,https://fitnessprogramer.com/wp-content/uploads/2021/09/Bicep-Curl-Machine.gif
Beginner,Freeweight,Biceps Leg Concentration Curl,https://fitnessprogramer.com/wp-content/uploads/2021/04/Biceps-Leg-Concentration-Curl.gif
Beginner,Bodyweight,Bicycle Crunch,https://fitnessprogramer.com/wp-content/uploads/2021/02/Bicycle-Crunch.gif
Beginner,Freeweight,Bicycle Crunch | Gymstick,https://fitnessprogramer.com/wp-content/uploads/2022/05/Bicycle-Crunch-Gymstick.gif
Beginner,Bodyweight,Bicycle Twisting Crunch,https://fitnessprogramer.com/wp-content/uploads/2022/01/Bicycle-Twisting-Crunch.gif
Beginner,Yoga,Bird Dog,https://fitnessprogramer.com/wp-content/uploads/2022/07/Bird-Dog.gif
Beginner,Yoga,Bitilasana | Cow Pose,https://fitnessprogramer.com/wp-content/uploads/2022/05/Bitilasana-Cow-Pose.gif
Beginner,Yoga,Boat Pose,https://fitnessprogramer.com/wp-content/uploads/2022/01/Boat-Pose-Stretch.gif
Intermediate,Bodyweight,Body Ups,https://fitnessprogramer.com/wp-content/uploads/2021/06/Body-Ups.gif
Beginner,Bodyweight,Bodyweight Box Squat,https://fitnessprogramer.com/wp-content/uploads/2022/07/Bodyweight-Box-Squat.gif
Beginner,Bodyweight,Bodyweight Bulgarian Split Squat,https://fitnessprogramer.com/wp-content/uploads/2022/02/Bodyweight-Bulgarian-Split-Squat.gif
Beginner,Bodyweight,Bodyweight Hip Thrust,https://fitnessprogramer.com/wp-content/uploads/2022/04/bodyweight-hip-thrust.gif
Beginner,Bodyweight,Bodyweight Kneeling Sissy Squat,https://fitnessprogramer.com/wp-content/uploads/2023/02/Bodyweight-Kneeling-Sissy-Squat.gif
Beginner,Bodyweight,Bodyweight Lunge,https://fitnessprogramer.com/wp-content/uploads/2023/07/bodyweight-lunges.gif
Beginner,Bodyweight,Bodyweight Military Press,https://fitnessprogramer.com/wp-content/uploads/2021/04/Bodyweight-Military-Press.gif
Elite,Bodyweight,Bodyweight Plie Squat,https://fitnessprogramer.com/wp-content/uploads/2025/04/Bodyweight-Plie-Squat.gif
Beginner,Bodyweight,Bodyweight Row in Doorway,https://fitnessprogramer.com/wp-content/uploads/2023/06/Bodyweight-Row-in-Doorway.gif
Beginner,Bodyweight,Bodyweight Single Leg Deadlift,https://fitnessprogramer.com/wp-content/uploads/2021/05/Bodyweight-Single-Leg-Deadlift.gif
Intermediate,Bodyweight,Bodyweight Skull Crushers,https://fitnessprogramer.com/wp-content/uploads/2022/02/Bodyweight-Skull-Crushers.gif
Beginner,Bodyweight,Bodyweight Squat,https://fitnessprogramer.com/wp-content/uploads/2021/05/bodyweight-squat-full-version.gif
Beginner,Bodyweight,Bodyweight Sumo Squat,https://fitnessprogramer.com/wp-content/uploads/2021/02/BODYWEIGHT-SUMO-SQUAT.gif
Beginner,Bodyweight,Bodyweight Walking Lunge,https://fitnessprogramer.com/wp-content/uploads/2023/09/bodyweight-walking-lunge.gif
Beginner,Bodyweight,Bodyweight Windmill,https://fitnessprogramer.com/wp-content/uploads/2021/05/Bodyweight-Windmill.gif
Beginner,Bodyweight,Bosu Ball Push-Up,https://fitnessprogramer.com/wp-content/uploads/2022/07/Bosu-Ball-Push-Up.gif
Beginner,Yoga,Bow Pose,https://fitnessprogramer.com/wp-content/uploads/2021/02/Bow-Yoga-Pose.gif
Intermediate,Bodyweight,Box Jump 1 to 2,https://fitnessprogramer.com/wp-content/uploads/2023/02/Box-Jump-1-to-2.gif
Intermediate,Bodyweight,Box Jump 2 to 1,https://fitnessprogramer.com/wp-content/uploads/2023/02/Box-Jump-2-to-1.gif
